char,codepoint,file,line,column,entry,context
𦣇,U+268C7,113四高.csv,63,例句,肚𦣇,例如：捉豬，愛看肚𦣇。<br>例如：大肚𦣇，一餐愛食兩隻飯包。
𦣇,U+268C7,113大高.csv,62,大埔客家語,肚𦣇,肚𦣇
𦣇,U+268C7,113大高.csv,62,例句,肚𦣇,例如：捉豬，愛看肚𦣇。<br>例如：大肚𦣇，一餐愛食兩粒飯包。
𦣇,U+268C7,113平高.csv,63,饒平客家語,肚𦣇,肚𦣇
𦣇,U+268C7,113平高.csv,63,例句,肚𦣇,例如：捉豬，愛䀴肚𦣇。<br>例如：大肚𦣇，一餐愛食兩隻飯包。
𦣇,U+268C7,113海高.csv,63,海陸客家語,肚𦣇,肚𦣇
𦣇,U+268C7,113海高.csv,63,例句,肚𦣇,例如：捉豬，愛看肚𦣇。<br>例如：大肚𦣇，一餐愛食兩隻飯包。
𧟌,U+277CC,20250630-南.csv,2707,相似詞,㝗㝗㝩㝩,朗朗膨膨　𧟌𧟌襎襎
𧟌,U+277CC,20250630-海.csv,2827,相似詞,朗朗膨膨,㝗㝗㝩㝩　𧟌𧟌襎襎
𧬻,U+27B3B,20250630-安.csv,5932,相似詞,打落,䀴輕　誚𧬻
𩑭,U+2946D,20250630-南.csv,9559,例句,汫,例：汫出（水倒出）、倒汫（翻轉、倒過來）、汫燥(把水倒盡使之乾燥) 例：汫汫、倒汫倒汫(𩑭斜的) 例：心汫汫仔(沉迷於)
𩑭,U+2946D,20250630-四.csv,9742,例句,汫,例：汫出（水倒出）、倒汫（翻轉、倒過來）、汫燥(把水倒盡使之乾燥) 例：汫汫、倒汫倒汫(𩑭斜的)
𩑭,U+2946D,20250630-大.csv,9475,例句,汫,例：汫出（水倒出）、倒汫（翻轉、倒過來）、汫燥(（把水倒盡使之乾燥）) 例：汫汫、倒汫倒汫(（𩑭斜的）)
𩑭,U+2946D,20250630-平.csv,9699,例句,汫,例：汫出（水倒出）、倒汫（翻轉、倒過來）、汫燥(把水倒盡使之乾燥) 例：汫汫、倒汫倒汫(𩑭斜的)
𩑭,U+2946D,20250630-海.csv,9770,例句,汫,例：汫出（水倒出）、倒汫（翻轉、倒過來）、汫燥(把水倒盡使之乾燥) 例：汫汫、倒汫倒汫(𩑭斜的)
𩔵,U+29535,113海高.csv,435,海陸客家語,盦盦覆（盦𩔵覆）,盦盦覆（盦𩔵覆）
𪖶,U+2A5B6,113平高.csv,456,饒平客家語,𪖶噎毋轉,𪖶噎毋轉
𪖶,U+2A5B6,113平高.csv,456,例句,𪖶噎毋轉,例如：䀴佢唩到𪖶噎毋轉，毋知發生麼个事情？
𪖶,U+2A5B6,113海高.csv,454,海陸客家語,𪖶噎毋轉,𪖶噎毋轉
𪖶,U+2A5B6,113海高.csv,454,例句,𪖶噎毋轉,例如：看佢噭到𪖶噎毋轉，毋知發生麼个事情？
𪖶,U+2A5B6,20250630-海.csv,16291,例句,噭,例：緊噭（一直哭）、噭眵（哭泣）、噭媱（無事哭）、呀噭（痛哭）、噭到𪖶噎毋轉（哭得抽搐不止）、噭豺豺仔（哭泣不止的樣子）、噭好命（舊時新娘出嫁，一直哭，越哭越好命，喻飲水思源，捨不得親恩）、噭襤溼褸(（哭得衣服溼透，極為傷心）)
𪘁,U+2A601,113安中高.csv,332,詔安客家語,𪘁,𪘁
𪘁,U+2A601,113安中高.csv,332,詔安華語詞義,𪘁,張口急咬，「𪘁著」即指咬到。
𪘁,U+2A601,113安中高.csv,332,例句,𪘁,例如：這隻狗毋知幾久無食物件，䀴著烏蠅嘛在遐𪘁。
𪲧,U+2ACA7,20250630-南.csv,17554,例句,過宕,例：佢考試該日睡過宕，赴考毋著嗄落第吔。(（他考試當天睡過頭，沒趕上考試因此留級了。）) 例：這件事情過宕吔你正決定，來毋掣吔啦！(（這件事情時機已過你才決定，𪲧不及了啦！）)
𪳕,U+2ACD5,20250630-南.csv,12043,例句,棚,瓜棚（瓜架）、戲棚（戲臺）、棚𪳕(棚目鏡) 一棚戲（一齣戲）、雙棚絞 夾層、閣樓(戴眼鏡) 兩臺戲同時上演
𪳕,U+2ACD5,20250630-四.csv,12356,例句,棚,瓠棚（瓜架）、戲棚（戲臺）、棚𪳕(棚目鏡) 一棚戲（一齣戲）、雙棚絞 夾層、閣樓(戴眼鏡) 兩臺戲同時上演
𪳕,U+2ACD5,20250630-大.csv,11924,例句,棚,例：瓠棚（瓜架）、戲棚（戲臺子）、棚𪳕shin53（夾層、閣樓）、上棚（指瓜果類捲鬚爬上棚架）、棚頂(（樓上）) 例：上棚、煞棚、戲棚。 例：一棚戲（一臺戲）、雙棚絞(（兩臺戲同時上演）)
𪳕,U+2ACD5,20250630-安.csv,10244,例句,棚,瓠棚（瓜架）、戲棚（戲臺）、棚𪳕(一棚戲（一齣戲）、雙棚絞) (夾層) 兩臺戲同時上演
𪳕,U+2ACD5,20250630-平.csv,12258,例句,棚,瓠棚（瓜架）、戲棚（戲臺）、棚𪳕(棚目鏡) 一棚戲（一齣戲）、雙棚絞 夾層、閣樓(戴眼鏡) 兩臺戲同時上演
𪳕,U+2ACD5,20250630-海.csv,12405,例句,棚,瓠棚（瓜架）、戲棚（戲臺）、棚𪳕（夾層、閣樓）、大嫲棚（一大堆）、棚頭（一齣戲的開頭）、棚頂(一棚戲（一天的戲）、雙棚絞) (樓上) 兩臺戲同時上演
𫞻,U+2B7BB,20250630-四.csv,7873,例句,揀食,例：這細人仔當揀食，故所畜到𫞻𫞻毋會大。(這小孩很挑食，所以發育不良長不大。)
𫠄,U+2B804,20250630-四.csv,17542,詞目,韌𫠄𫠄仔,韌𫠄𫠄仔
𫠄,U+2B804,20250630-四.csv,17542,例句,韌𫠄𫠄仔,例：你炒个大腸無得訣，韌𫠄𫠄仔噍毋綿，吞毋得落。(你炒的大腸沒有得到要領，堅韌嚼不爛，難以下嚥。)
𫠄,U+2B804,20250630-海.csv,12153,相似詞,韌鋸鋸,韌𫠄𫠄
𬏛,U+2C3DB,113四高.csv,20,四縣客家語,發𬏛仔,發𬏛仔
𬏛,U+2C3DB,113海高.csv,20,海陸客家語,發𬏛仔（發粒仔）,發𬏛仔（發粒仔）
𬏛,U+2C3DB,20250630-平.csv,17378,例句,腳脥,例：佢个腳盤項好恬恬發一粒𬏛仔，腳脥項嗄襯瘍癧，疾到喊毋敢。(他的腳盤上突然長出一顆膿瘡，胯部連帶的淋巴腺脹痛，痛得受不了。)
㗭,U+35ED,20250630-南.csv,14563,例句,黃蚻,灶下个電火扚啊烏，歸大陣个黃蚻㗭㗭嗦嗦出來搞走相逐，無清仰做得。 廚房的電燈熄了，一大群的蟑螂窸窸窣窣跑出來追逐玩樂，沒清除怎麼可以。
㗭,U+35ED,20250630-四.csv,14944,例句,黃蚻,灶下个電火扚啊烏，歸大陣个黃蚻㗭㗭嗦嗦出來搞走相逐，無清仰做得。 廚房的電燈熄了，一大群的蟑螂窸窸窣窣跑出來追逐玩樂，沒清除怎麼可以。
㗭,U+35ED,20250630-安.csv,12193,例句,黃蚻,灶下个電火扚莫，歸大陣个黃蚻即㗭㗭嗦嗦趖出來絡食，無清仰子會用。 廚房的電燈熄了，一大群的蟑螂就窸窸窣窣跑出來覓食，沒清除怎麼可以。
㗭,U+35ED,20250630-平.csv,9878,例句,蜞蚻,灶下个電火扚啊烏，歸大陣个蜞蚻㗭㗭嗦嗦出來爽走相逐，無清仰做得。 廚房的電燈熄了，一大群的蟑螂窸窸窣窣跑出來追逐玩樂，沒清除怎麼可以。
㗭,U+35ED,20250630-海.csv,17712,例句,蜞蚻仔,例：灶下个電火扚啊烏，歸大陣个蜞蚻仔斯㗭㗭嗦嗦趖出來，無清仰做得。(廚房的電燈熄了，一大群的蟑螂就窸窸窣窣爬出來，沒清除怎麼可以。)
㞇,U+3787,113安中.csv,18,詔安例句,腳目,佢行路㞇著，腳目腫起來。
㞇,U+3787,113安中.csv,63,詔安客家語,㞇著,㞇著
㞇,U+3787,113安中.csv,63,詔安例句,㞇著,𠊎个頸㞇著，攏無法度停動。<br>佢个腳㞇著，杖子擎歸半個月。
㞇,U+3787,113安中高.csv,130,詔安客家語,㞇著,㞇著
㞇,U+3787,113安中高.csv,130,例句,㞇著,例如：實在運數無好，正行出大路，腳就㞇著。
㞇,U+3787,113安中高.csv,438,例句,撨,例如：佢手骨㞇著，去得拳頭師傅撨轉去。
㞇,U+3787,20250630-安.csv,3676,例句,腳筋,例：佢去跋山，腳筋嗄㞇著，這下行路跛啊跛个。(（他去爬山，卻扭傷腳筋，現在走路一拐一拐的。）)
㞇,U+3787,20250630-安.csv,16529,例句,腳目珠仁,例：佢行路㞇著，腳目珠仁腫起來，驚真傷重。(他走路扭到，腳踝腫起來，好像很嚴重。)
㞇,U+3787,20250630-安.csv,16530,詞目,㞇著,㞇著
㞇,U+3787,20250630-安.csv,16530,例句,㞇著,例：佢走傷緊，無注意泥下有一個窟，腳目嗄㞇著啊。 (他跑太快，沒注意地上有一個窟窿，竟扭傷腳踝。) 例：佢个腳㞇著，歸半個月擎怙杖。(他的腳扭傷，拄了大半個月的拐杖。)
㧗,U+39D7,113四高.csv,696,四縣客家語,㧗頭那毛,㧗頭那毛
㧗,U+39D7,113四高.csv,696,例句,㧗頭那毛,例如：兩公婆冤家，互相㧗頭那毛，搣到細人仔毋知愛仰般做正好。
㧗,U+39D7,113大高.csv,687,大埔客家語,㧗頭那毛,㧗頭那毛
㧗,U+39D7,113大高.csv,687,例句,㧗頭那毛,例如：兩公姐冤家，互相㧗頭那毛，搣去細人毋知愛仰脣做正好。
㧗,U+39D7,113平高.csv,686,饒平客家語,㧗頭那毛【揪頭那毛／扯頭那毛】,㧗頭那毛【揪頭那毛／扯頭那毛】
㧗,U+39D7,113平高.csv,686,例句,㧗頭那毛【揪頭那毛／扯頭那毛】,例如：兩公姐冤家，互相㧗頭那毛，搣到細人仔毋知愛仰般做正好。
㧗,U+39D7,113海高.csv,688,海陸客家語,㧗頭那毛,㧗頭那毛
㧗,U+39D7,113海高.csv,688,例句,㧗頭那毛,例如：兩公婆冤家，互相㧗頭那毛，搣到細人仔毋知愛仰般做正好。
㧹,U+39F9,20250630-海.csv,4579,相反詞,親切,面臭臭　面臭面㧹
㨖,U+3A16,113安高.csv,1611,詔安客家語,打㨖碓,打㨖碓
㨖,U+3A16,113安高.csv,1611,例句,打㨖碓,例如：莫直直和佢打㨖碓，佢係毋會用講笑个人。
㾨,U+3FA8,20250630-平.csv,5717,相似詞,襯瘍癧,襯滷㾨
